user,normalized_query,id,Action,description_bm25,title_bm25,name_bm25,character_bm25,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
User 4,the gray,tm1080445,add,2.174406252080581,9.138157007940356,0.0,0.6772061282697432,MOVIE,2022,PG-13,128,"[""thriller"", ""action""]","[""US"", ""CZ""]",6.6,46071.0,510.268,6.851
User 4,the gray,tm1080445,select,2.174406252080581,9.138157007940356,0.0,0.6772061282697432,MOVIE,2022,PG-13,128,"[""thriller"", ""action""]","[""US"", ""CZ""]",6.6,46071.0,510.268,6.851
User 4,sarah shahi,tm1196705,select,0.0,0.0,0.0,0.0,MOVIE,2022,unknwon,101,"[""comedy"", ""romance""]","[""US"", ""AU""]",6.1,9742.0,372.132,6.789
User 4,asu,tm949905,play,0.0,0.0,,,MOVIE,2020,unknwon,120,"[""action"", ""crime"", ""thriller""]","[""IN""]",3.2,322.0,,
User 4,asu,tm949905,select,0.0,0.0,,,MOVIE,2020,unknwon,120,"[""action"", ""crime"", ""thriller""]","[""IN""]",3.2,322.0,,
User 4,asura,tm949905,play,0.0,9.919802982220578,,,MOVIE,2020,unknwon,120,"[""action"", ""crime"", ""thriller""]","[""IN""]",3.2,322.0,,
User 4,asura,tm949905,play,0.0,9.919802982220578,,,MOVIE,2020,unknwon,120,"[""action"", ""crime"", ""thriller""]","[""IN""]",3.2,322.0,,
User 4,asura,tm949905,select,0.0,9.919802982220578,,,MOVIE,2020,unknwon,120,"[""action"", ""crime"", ""thriller""]","[""IN""]",3.2,322.0,,
User 4,cbi,tm448707,play,11.570544115751908,7.410056677311047,0.0,0.0,MOVIE,2022,unknwon,163,"[""thriller"", ""crime""]","[""IN""]",6.3,1394.0,3.945,5.8
User 4,cbi,tm448707,select,11.570544115751908,7.410056677311047,0.0,0.0,MOVIE,2022,unknwon,163,"[""thriller"", ""crime""]","[""IN""]",6.3,1394.0,3.945,5.8
User 4,jana,tm1143898,select,0.0,8.483196490928801,0.0,0.0,MOVIE,2022,unknwon,161,"[""drama"", ""thriller"", ""crime""]","[""IN""]",8.3,9167.0,6.712,7.9
User 4,nawa,tm921416,select,0.0,0.0,0.0,0.0,MOVIE,2020,unknwon,98,"[""drama"", ""crime"", ""thriller"", ""action""]","[""IN""]",5.8,5628.0,3.481,5.8
User 4,nawa,tm867681,select,0.0,0.0,0.0,0.0,MOVIE,2021,unknwon,135,"[""romance"", ""thriller"", ""crime"", ""drama""]","[""IN""]",6.9,26194.0,15.216,6.4
User 4,don,tm856378,play,0.0,5.434699778194338,0.0,0.0,MOVIE,2021,R,138,"[""comedy"", ""drama"", ""scifi""]","[""US""]",7.2,515337.0,120.874,7.208
User 4,don,tm856378,select,0.0,5.434699778194338,0.0,0.0,MOVIE,2021,R,138,"[""comedy"", ""drama"", ""scifi""]","[""US""]",7.2,515337.0,120.874,7.208
User 4,takerz,tm100015,play,0.0,0.0,0.0,0.0,MOVIE,2010,PG-13,107,"[""action"", ""crime"", ""drama"", ""thriller""]","[""US""]",6.2,62464.0,15.872,6.228
User 4,takerz,tm100015,select,0.0,0.0,0.0,0.0,MOVIE,2010,PG-13,107,"[""action"", ""crime"", ""drama"", ""thriller""]","[""US""]",6.2,62464.0,15.872,6.228
User 4,365,tm832345,play,7.759882858776156,9.305390427909687,0.0,0.0,MOVIE,2020,unknwon,114,"[""romance"", ""drama"", ""european""]","[""PL""]",3.3,84940.0,48.792,7.044
User 4,365,tm832345,add,7.759882858776156,9.305390427909687,0.0,0.0,MOVIE,2020,unknwon,114,"[""romance"", ""drama"", ""european""]","[""PL""]",3.3,84940.0,48.792,7.044
User 4,365,tm832345,select,7.759882858776156,9.305390427909687,0.0,0.0,MOVIE,2020,unknwon,114,"[""romance"", ""drama"", ""european""]","[""PL""]",3.3,84940.0,48.792,7.044
User 4,365,tm857461,add,0.0,0.0,0.0,0.0,MOVIE,2022,unknwon,157,"[""crime"", ""drama""]","[""IN""]",7.0,50163.0,15.015,7.7
User 4,365,tm857461,select,0.0,0.0,0.0,0.0,MOVIE,2022,unknwon,157,"[""crime"", ""drama""]","[""IN""]",7.0,50163.0,15.015,7.7
User 4,linc,tm12499,select,0.0,0.0,0.0,0.0,MOVIE,1995,PG-13,114,"[""thriller"", ""action"", ""crime"", ""drama""]","[""US""]",5.9,66667.0,15.935,6.0
User 4,eth,tm813372,play,0.0,0.0,,,MOVIE,2022,unknwon,151,"[""thriller"", ""action"", ""crime"", ""drama""]","[""IN""]",6.6,11591.0,,
User 4,eth,tm813372,select,0.0,0.0,,,MOVIE,2022,unknwon,151,"[""thriller"", ""action"", ""crime"", ""drama""]","[""IN""]",6.6,11591.0,,
User 4,dasv,tm1025493,select,0.0,0.0,0.0,0.0,MOVIE,2022,unknwon,125,"[""comedy"", ""drama""]","[""IN""]",7.4,21050.0,3.327,5.7
User 4,dasv,tm1025493,select,0.0,0.0,0.0,0.0,MOVIE,2022,unknwon,125,"[""comedy"", ""drama""]","[""IN""]",7.4,21050.0,3.327,5.7
User 4,dasvi,tm1025493,select,0.0,11.942178820367491,0.0,0.0,MOVIE,2022,unknwon,125,"[""comedy"", ""drama""]","[""IN""]",7.4,21050.0,3.327,5.7
User 4,dasvi,tm1025493,select,0.0,11.942178820367491,0.0,0.0,MOVIE,2022,unknwon,125,"[""comedy"", ""drama""]","[""IN""]",7.4,21050.0,3.327,5.7
User 4,83,tm473502,play,0.0,11.202504392739206,0.0,0.0,MOVIE,2021,unknwon,163,"[""drama"", ""history"", ""sport""]","[""IN""]",7.5,35093.0,10.441,7.0
User 4,83,tm473502,play,0.0,11.202504392739206,0.0,0.0,MOVIE,2021,unknwon,163,"[""drama"", ""history"", ""sport""]","[""IN""]",7.5,35093.0,10.441,7.0
User 4,83,tm473502,select,0.0,11.202504392739206,0.0,0.0,MOVIE,2021,unknwon,163,"[""drama"", ""history"", ""sport""]","[""IN""]",7.5,35093.0,10.441,7.0
User 4,bad,tm1138870,play,0.0,0.0,0.0,0.0,MOVIE,2022,unknwon,147,"[""comedy"", ""drama"", ""crime""]","[""IN""]",7.1,16685.0,5.054,7.0
User 4,bad,tm1138870,play,0.0,0.0,0.0,0.0,MOVIE,2022,unknwon,147,"[""comedy"", ""drama"", ""crime""]","[""IN""]",7.1,16685.0,5.054,7.0
User 4,bad,tm1138870,select,0.0,0.0,0.0,0.0,MOVIE,2022,unknwon,147,"[""comedy"", ""drama"", ""crime""]","[""IN""]",7.1,16685.0,5.054,7.0
User 4,numb,tm370212,select,0.0,0.0,0.0,0.0,MOVIE,2018,PG-13,96,"[""action"", ""thriller"", ""romance"", ""drama"", ""european""]","[""HK"", ""IS"", ""US""]",6.6,55597.0,17.991,6.9
User 4,cha,tm963023,play,0.0,0.0,0.0,0.0,MOVIE,2021,unknwon,117,"[""romance"", ""comedy"", ""crime"", ""drama""]","[""IN""]",6.8,13203.0,3.723,6.7
User 4,cha,tm963023,select,0.0,0.0,0.0,0.0,MOVIE,2021,unknwon,117,"[""romance"", ""comedy"", ""crime"", ""drama""]","[""IN""]",6.8,13203.0,3.723,6.7
User 4,jers,tm1119272,select,0.0,0.0,0.0,0.0,MOVIE,2021,unknwon,101,"[""documentation"", ""sport""]","[""US""]",7.7,24213.0,22.226,7.5
User 4,don,tm856378,play,0.0,5.434699778194338,0.0,0.0,MOVIE,2021,R,138,"[""comedy"", ""drama"", ""scifi""]","[""US""]",7.2,515337.0,120.874,7.208
User 4,don,tm856378,select,0.0,5.434699778194338,0.0,0.0,MOVIE,2021,R,138,"[""comedy"", ""drama"", ""scifi""]","[""US""]",7.2,515337.0,120.874,7.208
User 4,kur,tm404856,play,0.0,0.0,0.0,0.0,MOVIE,2021,PG-13,117,"[""thriller"", ""action"", ""comedy"", ""crime""]","[""US""]",6.3,264194.0,311.673,6.775
User 4,kur,tm404856,play,0.0,0.0,0.0,0.0,MOVIE,2021,PG-13,117,"[""thriller"", ""action"", ""comedy"", ""crime""]","[""US""]",6.3,264194.0,311.673,6.775
User 4,kur,tm404856,play,0.0,0.0,0.0,0.0,MOVIE,2021,PG-13,117,"[""thriller"", ""action"", ""comedy"", ""crime""]","[""US""]",6.3,264194.0,311.673,6.775
User 4,kur,tm404856,select,0.0,0.0,0.0,0.0,MOVIE,2021,PG-13,117,"[""thriller"", ""action"", ""comedy"", ""crime""]","[""US""]",6.3,264194.0,311.673,6.775
User 4,don t l,tm856378,select,0.0,10.29629164840479,0.0,0.0,MOVIE,2021,R,138,"[""comedy"", ""drama"", ""scifi""]","[""US""]",7.2,515337.0,120.874,7.208
